Model,Reward,Deficiency,Export
DQN,3527079.5791549087,31582036.484528936,239494717.3140975
DQN,3605644.137130252,28870709.95779423,238000948.65726054
DQN,3449088.3634097395,31123015.692094103,234678223.16537783
DQN,3543751.821601358,32102419.969532102,241369821.78977618
DQN,3523656.677894519,31808915.830485553,239777542.0237228
DQN,3538805.826357823,31950162.33264322,240817701.03072688
DQN,3521101.003029999,31600537.603759013,239233278.05735725
DQN,3573255.4959293846,32011039.670068495,242661261.72591183
DQN,3600415.5636756555,29926229.302485105,239850438.73261794
DQN,3606867.7598185823,30734948.916071862,241790515.74407458
DQN,3586648.6615411653,30460658.073709175,240231365.36771923
DQN,3594088.132832127,30750976.0470255,241182935.13213903
DQN,3659738.982492962,30386673.474304676,243736833.7553007
DQN,3543811.9746129694,30606442.30608307,238380541.0707164
DQN,3637231.343254245,30992122.510148033,243821917.8129001
DQN,3612125.6664905534,29935799.29197026,240454960.66241965
DQN,3462302.4344958398,31174415.44795756,235441584.12124172
DQN,3605485.989622224,32091595.23153802,244434030.49813065
DQN,3615428.6480007484,30558965.195669997,241866122.09447914
DQN,3508138.4380717888,30454684.28622106,236293455.17456597
DQN,3537617.201770696,31374713.71135375,239607780.0595379
DQN,3714792.550896509,28098223.38563142,241912719.26068902
DQN,3341557.7789549837,31382216.04110696,229820254.24803093
DQN,3517257.789990401,29145315.700718805,234131551.80465883
DQN,3559592.7144571943,31457000.396008685,240870308.47982016
DQN,3565229.2565299375,30740217.857728258,239718251.88031536
DQN,3415350.654730297,31936536.07598256,234618744.5453286
DQN,3547581.846679536,31234456.06205136,239824404.20853823
DQN,3597793.4986626506,29861275.041835893,239589344.92239994
DQN,3531603.9362515314,30891873.094825584,238341788.94631335
DQN,3507503.8503780193,31306413.924844,237964816.737709
DQN,3346191.303533526,34591136.112156905,236469816.8661454
DQN,3447735.061743254,30745941.113486767,233856650.0179046
DQN,3618664.2713344004,30355765.722509734,241621101.17546803
DQN,3640117.8408134044,28812411.61158764,239608013.52991512
DQN,3531686.079254428,31364039.48218613,239289348.34600046
