region,year,eurostat_crop_category,production_structure,eurostat_area_thousand_ha,region_normalised,eurostat_area_ha
France,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9584.58,france,9584580.0
France,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9529.98,france,9529980.0
France,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9339.87,france,9339870.0
France,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9055.31,france,9055310.0
France,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9394.03,france,9394030.0
France,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,8926.69,france,8926690.0
France,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9325.7,france,9325700.0
France,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9005.01,france,9005010.0
France,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,8831.54,france,8831540.0
France,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,8526.62,france,8526620.0
Ile de France,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,366.69,ile de france,366690.0
Ile de France,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,363.29,ile de france,363290.0
Ile de France,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,360.68,ile de france,360680.0
Ile de France,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,355.76,ile de france,355760.0
Ile de France,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,381.24,ile de france,381240.0
Ile de France,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,358.34,ile de france,358340.0
Ile de France,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,364.09,ile de france,364090.0
Ile de France,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,353.46,ile de france,353460.0
Ile de France,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,350.8,ile de france,350800.0
Ile de France,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,347.02,ile de france,347020.0
Centre — Val de Loire,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1258.4,centre - val de loire,1258400.0
Centre — Val de Loire,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1254.6,centre - val de loire,1254600.0
Centre — Val de Loire,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1248.92,centre - val de loire,1248920.0
Centre — Val de Loire,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1194.89,centre - val de loire,1194890.0
Centre — Val de Loire,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1293.41,centre - val de loire,1293410.0
Centre — Val de Loire,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1208.47,centre - val de loire,1208470.0
Centre — Val de Loire,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1212.64,centre - val de loire,1212640.0
Centre — Val de Loire,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1174.27,centre - val de loire,1174270.0
Centre — Val de Loire,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1153.08,centre - val de loire,1153080.0
Centre — Val de Loire,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1118.84,centre - val de loire,1118840.0
Bourgogne-Franche-Comté,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,751.19,bourgogne-franche-comte,751190.0
Bourgogne-Franche-Comté,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,745.23,bourgogne-franche-comte,745230.0
Bourgogne-Franche-Comté,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,747.45,bourgogne-franche-comte,747450.0
Bourgogne-Franche-Comté,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,719.26,bourgogne-franche-comte,719260.0
Bourgogne-Franche-Comté,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,766.13,bourgogne-franche-comte,766130.0
Bourgogne-Franche-Comté,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,727.58,bourgogne-franche-comte,727580.0
Bourgogne-Franche-Comté,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,737.08,bourgogne-franche-comte,737080.0
Bourgogne-Franche-Comté,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,718.2,bourgogne-franche-comte,718200.0
Bourgogne-Franche-Comté,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,701.88,bourgogne-franche-comte,701880.0
Bourgogne-Franche-Comté,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,683.88,bourgogne-franche-comte,683880.0
Normandie,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,645.99,normandie,645990.0
Normandie,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,650.88,normandie,650880.0
Normandie,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,628.85,normandie,628850.0
