country,crop_code,crop,Year,fao_area_harvested_ha,fao_production_tonnes,fao_yield_kg_ha
France,0111,Wheat,2020,4519780.0,30181140.0,6677.6
France,0111,Wheat,2021,5276730.0,36559450.0,6928.4
France,0111,Wheat,2022,4949840.0,34632380.0,6996.7
France,0111,Wheat,2023,4998280.0,35995570.0,7201.6
France,0111,Wheat,2024,4454180.0,26606940.0,5973.5
France,0112,Maize (corn),2020,1730030.0,13726410.0,7934.2
France,0112,Maize (corn),2021,1549470.0,15358290.0,9912.0
France,0112,Maize (corn),2022,1456090.0,10877190.0,7470.1
France,0112,Maize (corn),2023,1314680.0,12834600.0,9762.5
France,0112,Maize (corn),2024,1593920.0,14670620.0,9204.1
France,0113,Rice,2020,14320.0,75460.0,5269.6
France,0113,Rice,2021,12030.0,62340.0,5182.0
France,0113,Rice,2022,11760.0,64480.0,5483.0
France,0113,Rice,2023,12120.0,68270.0,5632.8
France,0113,Rice,2024,13480.0,71960.0,5338.3
France,0114,Sorghum,2020,93580.0,431700.0,4613.2
France,0114,Sorghum,2021,67480.0,382280.0,5665.1
France,0114,Sorghum,2022,49860.0,210940.0,4230.6
France,0114,Sorghum,2023,54610.0,303990.0,5566.6
France,0114,Sorghum,2024,100480.0,447110.0,4449.7
France,0115,Barley,2020,1974160.0,10277230.0,5205.9
France,0115,Barley,2021,1730370.0,11321320.0,6542.7
France,0115,Barley,2022,1866520.0,11285440.0,6046.2
France,0115,Barley,2023,1815490.0,12143490.0,6688.8
France,0115,Barley,2024,1808500.0,9669250.0,5346.6
France,0116,Rye,2020,31960.0,132420.0,4143.3
France,0116,Rye,2021,43220.0,194290.0,4495.4
France,0116,Rye,2022,41540.0,157640.0,3794.9
France,0116,Rye,2023,38820.0,168310.0,4335.7
France,0116,Rye,2024,29320.0,108350.0,3695.4
France,0117,Oats,2020,98410.0,387020.0,3932.7
France,0117,Oats,2021,107160.0,479910.0,4478.4
France,0117,Oats,2022,96800.0,379000.0,3915.3
France,0117,Oats,2023,78900.0,337340.0,4275.5
France,0117,Oats,2024,78200.0,302700.0,3870.8
France,01191,Triticale,2020,261630.0,1206560.0,4611.7
France,01191,Triticale,2021,338600.0,1736910.0,5129.7
France,01191,Triticale,2022,339700.0,1613730.0,4750.5
France,01191,Triticale,2023,326270.0,1646460.0,5046.3
France,01191,Triticale,2024,255160.0,1087820.0,4263.3
France,01199.02,Mixed grain,2020,102130.0,357640.0,3501.8
France,01199.02,Mixed grain,2021,134110.0,546440.0,4074.6
France,01199.02,Mixed grain,2022,120290.0,462200.0,3842.4
France,01199.02,Mixed grain,2023,113140.0,472570.0,4176.9
France,01199.02,Mixed grain,2024,84300.0,291320.0,3455.8
France,01199.90,Cereals n.e.c.,2020,100700.0,309580.0,3074.3
France,01199.90,Cereals n.e.c.,2021,66540.0,235910.0,3545.4
France,01199.90,Cereals n.e.c.,2022,72610.0,244490.0,3367.2
France,01199.90,Cereals n.e.c.,2023,79210.0,270210.0,3411.3
France,01199.90,Cereals n.e.c.,2024,109060.0,297400.0,2726.9
France,01211,Asparagus,2020,6300.0,26760.0,4247.6
France,01211,Asparagus,2021,6530.0,25810.0,3952.5
France,01211,Asparagus,2022,6610.0,26250.0,3971.3
France,01211,Asparagus,2023,6670.0,27340.0,4099.0
France,01211,Asparagus,2024,7400.0,27570.0,3725.7
France,01212,Cabbages,2020,8450.0,205640.0,24336.1
France,01212,Cabbages,2021,7500.0,189970.0,25329.3
France,01212,Cabbages,2022,7520.0,163170.0,21698.1
France,01212,Cabbages,2023,7910.0,175670.0,22208.6
France,01212,Cabbages,2024,8320.0,188630.0,22671.9
France,01213,Cauliflowers and broccoli,2020,17830.0,253770.0,14232.8
France,01213,Cauliflowers and broccoli,2021,16530.0,266410.0,16116.8
France,01213,Cauliflowers and broccoli,2022,13800.0,211390.0,15318.1
France,01213,Cauliflowers and broccoli,2023,15320.0,208660.0,13620.1
France,01213,Cauliflowers and broccoli,2024,15510.0,203960.0,13150.2
France,01214,Lettuce and chicory,2020,17580.0,492300.0,28003.4
France,01214,Lettuce and chicory,2021,17310.0,493310.0,28498.6
France,01214,Lettuce and chicory,2022,16690.0,438740.0,26287.6
France,01214,Lettuce and chicory,2023,16450.0,401200.0,24389.1
France,01214,Lettuce and chicory,2024,16980.0,433890.0,25553.0
France,01215,Spinach,2020,4760.0,86260.0,18121.8
France,01215,Spinach,2021,6090.0,121290.0,19916.3
France,01215,Spinach,2022,5920.0,113650.0,19197.6
France,01215,Spinach,2023,4400.0,79400.0,18045.5
France,01215,Spinach,2024,4800.0,81560.0,16991.7
France,01216,Artichokes,2020,4920.0,26830.0,5453.3
France,01216,Artichokes,2021,4780.0,29340.0,6138.1
France,01216,Artichokes,2022,4710.0,21750.0,4617.8
France,01216,Artichokes,2023,4100.0,23330.0,5690.2
France,01216,Artichokes,2024,3670.0,21550.0,5871.9
France,01221,Watermelons,2020,900.0,24820.0,27577.8
France,01221,Watermelons,2021,880.0,24170.0,27465.9
France,01221,Watermelons,2022,920.0,23770.0,25837.0
France,01221,Watermelons,2023,930.0,23510.0,25279.6
France,01221,Watermelons,2024,930.0,22870.0,24591.4
France,01229,Cantaloupes and other melons,2020,14110.0,290530.0,20590.4
France,01229,Cantaloupes and other melons,2021,13910.0,270700.0,19460.8
France,01229,Cantaloupes and other melons,2022,13420.0,307500.0,22913.6
France,01229,Cantaloupes and other melons,2023,13590.0,322500.0,23730.7
France,01229,Cantaloupes and other melons,2024,14110.0,322410.0,22849.8
France,01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,1380.0,37770.0,27369.6
France,01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,1360.0,30680.0,22558.8
France,01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,1400.0,26440.0,18885.7
France,01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,1360.0,24970.0,18360.3
France,01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1380.0,20740.0,15029.0
France,01232,Cucumbers and gherkins,2020,1910.0,213540.0,111801.0
France,01232,Cucumbers and gherkins,2021,1710.0,200150.0,117046.8
France,01232,Cucumbers and gherkins,2022,1720.0,175180.0,101848.8
France,01232,Cucumbers and gherkins,2023,1710.0,179940.0,105228.1
France,01232,Cucumbers and gherkins,2024,1730.0,178940.0,103433.5
France,01233,Eggplants (aubergines),2020,1490.0,57060.0,38295.3
France,01233,Eggplants (aubergines),2021,1420.0,44260.0,31169.0
France,01233,Eggplants (aubergines),2022,1410.0,42480.0,30127.7
France,01233,Eggplants (aubergines),2023,1410.0,40690.0,28858.2
France,01233,Eggplants (aubergines),2024,1500.0,42830.0,28553.3
France,01234,Tomatoes,2020,6260.0,703590.0,112394.6
France,01234,Tomatoes,2021,6190.0,726170.0,117313.4
France,01234,Tomatoes,2022,5890.0,711040.0,120719.9
France,01234,Tomatoes,2023,5920.0,656190.0,110842.9
France,01234,Tomatoes,2024,6080.0,692430.0,113886.5
France,01235,"Pumpkins, squash and gourds",2020,12920.0,410030.0,31736.1
France,01235,"Pumpkins, squash and gourds",2021,13130.0,403590.0,30738.0
France,01235,"Pumpkins, squash and gourds",2022,13190.0,365920.0,27742.2
France,01235,"Pumpkins, squash and gourds",2023,12520.0,356830.0,28500.8
France,01235,"Pumpkins, squash and gourds",2024,12740.0,379910.0,29820.3
France,01241.90,"Other beans, green",2020,29720.0,336770.0,11331.4
France,01241.90,"Other beans, green",2021,33600.0,424760.0,12641.7
France,01241.90,"Other beans, green",2022,31490.0,378020.0,12004.4
France,01241.90,"Other beans, green",2023,26000.0,315980.0,12153.1
France,01241.90,"Other beans, green",2024,26650.0,317960.0,11931.0
France,01242,"Peas, green",2020,41680.0,245700.0,5894.9
France,01242,"Peas, green",2021,47510.0,314480.0,6619.2
France,01242,"Peas, green",2022,44540.0,295500.0,6634.5
France,01242,"Peas, green",2023,40150.0,268200.0,6680.0
France,01242,"Peas, green",2024,40810.0,260130.0,6374.2
France,01243,"Broad beans and horse beans, green",2020,6470.0,32480.0,5020.1
France,01243,"Broad beans and horse beans, green",2021,9110.0,48870.0,5364.4
France,01243,"Broad beans and horse beans, green",2022,8030.0,39000.0,4856.8
France,01243,"Broad beans and horse beans, green",2023,7090.0,43900.0,6191.8
France,01243,"Broad beans and horse beans, green",2024,7610.0,41180.0,5411.3
France,01251,Carrots and turnips,2020,16240.0,650680.0,40066.5
