time,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,rain_sum,et0_fao_evapotranspiration,region,latitude_requested,longitude_requested,latitude_returned,longitude_returned,elevation_m,date,year,month,region_normalised
2015-01-01,0.3,-3.0,3.8,0.0,0.0,0.32,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-01,2015,1,ile de france
2015-01-02,5.4,1.7,10.3,1.1,1.1,0.32,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-02,2015,1,ile de france
2015-01-03,6.9,0.5,12.9,3.7,3.7,0.31,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-03,2015,1,ile de france
2015-01-04,5.2,1.9,11.3,1.1,1.1,0.33,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-04,2015,1,ile de france
2015-01-05,0.4,-1.4,2.6,0.0,0.0,0.32,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-05,2015,1,ile de france
2015-01-06,0.6,-2.5,5.6,0.0,0.0,0.2,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-06,2015,1,ile de france
2015-01-07,3.4,-0.3,5.6,0.0,0.0,0.25,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-07,2015,1,ile de france
2015-01-08,8.6,5.7,10.9,3.7,3.7,0.37,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-08,2015,1,ile de france
2015-01-09,10.6,6.6,14.4,0.7,0.7,0.56,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-09,2015,1,ile de france
2015-01-10,12.8,8.5,14.4,2.4,2.4,0.84,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-10,2015,1,ile de france
2015-01-11,6.7,4.8,8.7,0.0,0.0,0.92,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-11,2015,1,ile de france
2015-01-12,7.6,6.4,9.2,0.0,0.0,0.92,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-12,2015,1,ile de france
2015-01-13,9.2,8.3,11.0,1.3,1.3,0.85,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-13,2015,1,ile de france
2015-01-14,7.1,5.4,8.5,2.1,2.1,0.9,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-14,2015,1,ile de france
2015-01-15,9.5,7.4,10.7,3.6,3.6,1.09,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-15,2015,1,ile de france
2015-01-16,6.3,5.1,8.2,3.1,3.1,0.59,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-16,2015,1,ile de france
2015-01-17,3.1,1.0,5.8,0.0,0.0,0.54,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-17,2015,1,ile de france
2015-01-18,3.1,1.1,6.7,0.0,0.0,0.57,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-18,2015,1,ile de france
2015-01-19,2.3,1.2,3.3,1.6,1.3,0.31,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-19,2015,1,ile de france
2015-01-20,0.5,-0.9,2.1,0.0,0.0,0.35,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-20,2015,1,ile de france
2015-01-21,1.1,-0.5,4.0,0.0,0.0,0.48,Ile de France,48.8566,2.3522,48.75,2.25,36.0,2015-01-21,2015,1,ile de france
