region,year,eurostat_crop_category,production_structure,eurostat_area_thousand_ha,region_normalised,eurostat_area_ha,annual_mean_temperature_c,annual_min_temperature_c,annual_max_temperature_c,annual_precipitation_mm,annual_rain_mm,annual_et0_mm
France,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9584.58,france,9584580.0,,,,,,
France,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9529.98,france,9529980.0,,,,,,
France,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9339.87,france,9339870.0,,,,,,
France,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9055.31,france,9055310.0,,,,,,
France,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9394.03,france,9394030.0,,,,,,
France,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,8926.69,france,8926690.0,,,,,,
France,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9325.7,france,9325700.0,,,,,,
France,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,9005.01,france,9005010.0,,,,,,
France,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,8831.54,france,8831540.0,,,,,,
France,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,8526.62,france,8526620.0,,,,,,
Ile de France,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,366.69,ile de france,366690.0,12.54904109589041,-3.0,38.3,534.7,532.0,835.61
Ile de France,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,363.29,ile de france,363290.0,11.864754098360656,-5.1,35.9,707.7,701.8,754.74
Ile de France,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,360.68,ile de france,360680.0,12.375342465753425,-7.5,36.2,663.9,660.7,800.96
Ile de France,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,355.76,ile de france,355760.0,12.936712328767122,-8.2,36.3,726.8,697.4,866.4
Ile de France,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,381.24,ile de france,381240.0,12.642739726027399,-4.3,41.4,803.5,778.6,876.92
Ile de France,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,358.34,ile de france,358340.0,13.30655737704918,-2.8,37.6,710.1,709.6,901.76
Ile de France,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,364.09,ile de france,364090.0,11.793698630136985,-6.0,31.9,789.5,779.9,777.6
Ile de France,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,353.46,ile de france,353460.0,13.334246575342465,-6.0,38.9,650.6,644.1,920.45
Ile de France,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,350.8,ile de france,350800.0,13.365205479452055,-5.2,34.9,847.6,842.9,849.12
Ile de France,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,347.02,ile de france,347020.0,12.793989071038252,-4.9,36.6,980.3,967.4,716.67
Centre — Val de Loire,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1258.4,centre - val de loire,1258400.0,12.456986301369863,-3.8,38.4,586.6,583.6,865.0
Centre — Val de Loire,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1254.6,centre - val de loire,1254600.0,11.711475409836064,-5.3,35.6,766.2,763.5,772.87
Centre — Val de Loire,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1248.92,centre - val de loire,1248920.0,12.215342465753425,-8.0,36.0,639.3,637.1,833.14
Centre — Val de Loire,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1194.89,centre - val de loire,1194890.0,12.914520547945205,-10.7,35.8,716.2,686.7,898.55
Centre — Val de Loire,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1293.41,centre - val de loire,1293410.0,12.640273972602738,-3.2,41.1,757.6,743.2,922.86
Centre — Val de Loire,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1208.47,centre - val de loire,1208470.0,13.142896174863388,-2.9,37.2,671.5,671.3,921.7
Centre — Val de Loire,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1212.64,centre - val de loire,1212640.0,11.684657534246574,-6.5,32.8,822.4,806.3,816.13
Centre — Val de Loire,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1174.27,centre - val de loire,1174270.0,13.296986301369863,-5.5,37.4,659.9,658.0,956.24
Centre — Val de Loire,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1153.08,centre - val de loire,1153080.0,13.261917808219179,-6.0,35.2,771.7,763.4,883.63
Centre — Val de Loire,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1118.84,centre - val de loire,1118840.0,12.30464480874317,-6.8,36.1,925.1,913.0,732.31
Bourgogne-Franche-Comté,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,751.19,bourgogne-franche-comte,751190.0,12.37945205479452,-4.2,38.6,722.6,698.6,917.5
Bourgogne-Franche-Comté,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,745.23,bourgogne-franche-comte,745230.0,11.389344262295081,-5.3,34.4,1081.4,1060.0,783.13
